ageb_id,label,stratum,stops_400m,stops_800m,employment_proxy,accessibility_quartile,employment_quartile,label_str
1409700252609,1,existing_station,35,47,20.0,1,1,suitable
1412000014662,1,existing_station,44,69,20.0,2,1,suitable
1412000012844,1,existing_station,8,31,20.0,1,1,suitable
1403900014669,1,existing_station,102,185,20.0,4,1,suitable
1409800012589,1,existing_station,28,101,20.0,2,1,suitable
1409800011665,1,existing_station,23,59,20.0,1,1,suitable
1412000016832,1,existing_station,15,62,20.0,1,1,suitable
1407000431132,1,existing_station,14,25,20.0,1,1,suitable
1412000013804,1,existing_station,25,60,20.0,1,1,suitable
1403900013590,1,existing_station,77,198,20.0,4,1,suitable
1407000130327,1,existing_station,11,29,20.0,1,1,suitable
1409800012447,1,existing_station,63,166,20.0,4,1,suitable
140700013005A,1,existing_station,27,57,20.0,1,1,suitable
1409708333607,1,existing_station,10,32,20.0,1,1,suitable
1410100010749,1,existing_station,34,106,20.0,3,1,suitable
141200001212A,1,existing_station,35,55,40.0,1,1,suitable
1409800011735,1,existing_station,32,55,40.0,1,1,suitable
141010001065A,1,existing_station,45,87,40.0,2,1,suitable
1409708332933,1,existing_station,11,16,40.0,1,1,suitable
1410100091681,1,existing_station,8,20,40.0,1,1,suitable
1410100011107,1,existing_station,33,90,40.0,2,1,suitable
1412000017046,1,existing_station,44,108,40.0,3,1,suitable
1412000013698,1,existing_station,29,91,40.0,2,1,suitable
1409800012979,1,existing_station,4,27,40.0,1,1,suitable
140390001553A,1,existing_station,38,80,40.0,2,1,suitable
1409700232755,1,existing_station,12,21,40.0,1,1,suitable
1403900010717,1,existing_station,32,91,40.0,2,1,suitable
1412000013096,1,existing_station,38,112,40.0,3,1,suitable
1409800013303,1,existing_station,8,25,40.0,1,1,suitable
1409800012644,1,existing_station,31,86,40.0,2,1,suitable
1410100011395,1,existing_station,49,112,40.0,3,1,suitable
140390001044A,1,existing_station,52,109,40.0,3,1,suitable
1403900015116,1,existing_station,41,97,40.0,2,1,suitable
1403900014300,1,existing_station,27,96,40.0,2,1,suitable
1403900014156,1,existing_station,35,126,40.0,3,1,suitable
1410100010452,1,existing_station,14,25,40.0,1,1,suitable
141200001486A,1,existing_station,10,29,40.0,1,1,suitable
1407001211518,1,existing_station,6,11,40.0,1,1,suitable
1409800011468,1,existing_station,24,89,40.0,2,1,suitable
1403900014194,1,existing_station,32,81,40.0,2,1,suitable
1412000015533,1,existing_station,33,78,40.0,2,1,suitable
1410100010611,1,existing_station,31,80,40.0,2,1,suitable
1409700463876,1,existing_station,15,29,40.0,1,1,suitable
1403900014974,1,existing_station,43,121,40.0,3,1,suitable
140980001263A,1,existing_station,13,34,40.0,1,1,suitable
1409800143248,1,existing_station,6,42,40.0,1,1,suitable
140980128288A,1,existing_station,22,28,40.0,1,1,suitable
1409705601032,1,existing_station,20,30,40.0,1,1,suitable
1409800011699,1,existing_station,35,72,40.0,2,1,suitable
1409708744022,1,existing_station,22,29,40.0,1,1,suitable
1409800012292,1,existing_station,27,102,40.0,2,1,suitable
141010001147A,1,existing_station,61,110,40.0,3,1,suitable
1409800011237,1,existing_station,31,75,40.0,2,1,suitable
1403900014442,1,existing_station,71,171,40.0,4,1,suitable
1407000131433,1,existing_station,17,40,40.0,1,1,suitable
1410100011037,1,existing_station,51,124,40.0,3,1,suitable
1410100011022,1,existing_station,23,77,40.0,2,1,suitable
1403900015633,1,existing_station,27,73,40.0,2,1,suitable
1403900015120,1,existing_station,31,104,40.0,2,1,suitable
1403900013637,1,existing_station,32,115,40.0,3,1,suitable
1403900010469,1,existing_station,48,129,40.0,3,1,suitable
1409708432717,1,existing_station,22,42,40.0,1,1,suitable
1410100092158,1,existing_station,21,43,40.0,1,1,suitable
1410100011982,1,existing_station,24,40,40.0,1,1,suitable
1410100011412,1,existing_station,63,160,40.0,4,1,suitable
1412000013113,1,existing_station,17,80,40.0,2,1,suitable
1409708223077,1,existing_station,28,68,40.0,2,1,suitable
1409800011203,1,existing_station,60,156,40.0,4,1,suitable
1410100011446,1,existing_station,19,77,40.0,2,1,suitable
1412000013787,1,existing_station,35,60,40.0,2,1,suitable
1412000016870,1,existing_station,10,13,40.0,1,1,suitable
1412007580509,1,existing_station,28,41,40.0,1,1,suitable
1403900010473,1,existing_station,61,151,40.0,4,1,suitable
1407000011503,1,existing_station,23,47,40.0,1,1,suitable
1409708441704,1,existing_station,29,41,40.0,1,1,suitable
1409800011504,1,existing_station,16,55,40.0,1,1,suitable
1412000015336,1,existing_station,20,52,40.0,1,1,suitable
1409800011491,1,existing_station,19,54,40.0,1,1,suitable
1412000014094,1,existing_station,18,55,40.0,1,1,suitable
1403900014279,1,existing_station,23,69,40.0,2,1,suitable
1412000014291,1,existing_station,29,63,40.0,2,1,suitable
1403900014989,1,existing_station,63,146,40.0,4,1,suitable
1412007580759,1,existing_station,38,53,40.0,1,1,suitable
1410100312317,1,existing_station,10,13,40.0,1,1,suitable
1412000620208,1,existing_station,28,48,40.0,1,1,suitable
1412000014520,1,existing_station,33,114,40.0,3,1,suitable
1403900013001,1,existing_station,56,136,40.0,4,1,suitable
1403900011965,1,existing_station,40,106,40.0,3,1,suitable
1412000014272,1,existing_station,18,58,40.0,1,1,suitable
1410100011770,1,existing_station,20,38,60.0,1,1,suitable
1412000011850,1,existing_station,26,75,60.0,2,1,suitable
1412000016052,1,existing_station,12,33,60.0,1,1,suitable
1410100011319,1,existing_station,38,72,60.0,2,1,suitable
1409800012729,1,existing_station,30,52,60.0,1,1,suitable
1409800012610,1,existing_station,42,101,60.0,3,1,suitable
141010001179A,1,existing_station,5,38,60.0,1,1,suitable
141200001582A,1,existing_station,44,104,60.0,3,1,suitable
1409708432685,1,existing_station,28,41,60.0,1,1,suitable
1412007580693,1,existing_station,47,57,60.0,2,1,suitable
1412000012810,1,existing_station,13,27,60.0,1,1,suitable
1412000016601,1,existing_station,39,84,60.0,2,1,suitable
1412000016175,1,existing_station,12,27,60.0,1,1,suitable
1409800010262,1,existing_station,17,42,60.0,1,1,suitable
140390001425A,1,existing_station,41,82,60.0,2,1,suitable
1407000010134,1,existing_station,32,46,60.0,1,1,suitable
1407000211096,1,existing_station,8,29,60.0,1,1,suitable
1412000013556,1,existing_station,47,138,60.0,3,1,suitable
1412000012558,1,existing_station,55,93,60.0,3,1,suitable
1412000012312,1,existing_station,47,99,60.0,3,1,suitable
1409700010532,1,existing_station,21,93,60.0,2,1,suitable
1403900015188,1,existing_station,39,77,60.0,2,1,suitable
1409800012201,1,existing_station,14,20,60.0,1,1,suitable
1409800011449,1,existing_station,25,68,60.0,2,1,suitable
1409800012466,1,existing_station,83,212,60.0,4,1,suitable
1412002315779,1,existing_station,25,38,60.0,1,1,suitable
141010009193A,1,existing_station,9,15,60.0,1,1,suitable
1409800012803,1,existing_station,33,84,60.0,2,1,suitable
1412000011579,1,existing_station,36,63,60.0,2,1,suitable
1412000012825,1,existing_station,29,50,60.0,1,1,suitable
141200001689A,1,existing_station,58,125,60.0,3,1,suitable
1403900014264,1,existing_station,40,78,60.0,2,1,suitable
1410100010857,1,existing_station,48,74,60.0,2,1,suitable
141200001529A,1,existing_station,9,22,60.0,1,1,suitable
1412002314145,1,existing_station,30,43,60.0,1,1,suitable
1410100010503,1,existing_station,22,56,60.0,1,1,suitable
1410100012088,1,existing_station,16,32,60.0,1,1,suitable
140390001382A,1,existing_station,48,120,60.0,3,1,suitable
1403900015169,1,existing_station,35,73,60.0,2,1,suitable
1409700383255,1,existing_station,39,69,60.0,2,1,suitable
141200001536A,1,existing_station,19,31,60.0,1,1,suitable
1410100010151,1,existing_station,38,71,60.0,2,1,suitable
1412000014075,1,existing_station,20,30,60.0,1,1,suitable
1409708362793,1,existing_station,22,51,60.0,1,1,suitable
1409800010296,1,existing_station,11,18,60.0,1,1,suitable
1410100091535,1,existing_station,24,49,60.0,1,1,suitable
1410100011268,1,existing_station,31,78,60.0,2,1,suitable
1403900014809,1,existing_station,41,103,60.0,3,1,suitable
1412002312026,1,existing_station,15,37,60.0,1,1,suitable
1404400540401,1,existing_station,1,7,60.0,1,1,suitable
1403900014885,1,existing_station,81,184,60.0,4,1,suitable
1409800011059,1,existing_station,40,108,60.0,3,1,suitable
1412000014569,1,existing_station,64,143,60.0,4,1,suitable
1409708221598,1,existing_station,64,104,60.0,3,1,suitable
1409708221920,1,existing_station,51,116,60.0,3,1,suitable
1412000012257,1,existing_station,48,106,60.0,3,1,suitable
1409708221899,1,existing_station,39,86,60.0,2,1,suitable
1412000620180,1,existing_station,7,21,60.0,1,1,suitable
1409708352736,1,existing_station,29,64,60.0,2,1,suitable
1407000010384,1,existing_station,18,38,60.0,1,1,suitable
1403900014349,1,existing_station,33,81,75.0,2,1,suitable
1412002312079,1,existing_station,14,35,75.0,1,1,suitable
1409708362806,1,existing_station,3,42,75.0,1,1,suitable
1409700350867,1,existing_station,27,45,75.0,1,1,suitable
1409700352435,1,existing_station,13,34,75.0,1,1,suitable
1409708312187,1,existing_station,13,33,75.0,1,1,suitable
140700021076A,1,existing_station,9,12,75.0,1,1,suitable
1409800013360,1,existing_station,21,67,75.0,1,1,suitable
1407000140454,1,existing_station,2,7,75.0,1,1,suitable
1409708443397,1,existing_station,31,63,75.0,2,1,suitable
1409708532238,1,existing_station,37,84,75.0,2,1,suitable
1403900012520,1,existing_station,33,100,80.0,2,1,suitable
1412000012933,1,existing_station,41,84,80.0,2,1,suitable
1403900015436,1,existing_station,38,87,80.0,2,1,suitable
1409700343221,1,existing_station,5,12,80.0,1,1,suitable
1407000130416,1,existing_station,3,14,80.0,1,1,suitable
1409800011769,1,existing_station,7,22,80.0,1,1,suitable
1410100091662,1,existing_station,9,21,80.0,1,1,suitable
1409708222168,1,existing_station,55,85,80.0,3,1,suitable
1403900013618,1,existing_station,93,194,80.0,4,1,suitable
140980001224A,1,existing_station,8,30,80.0,1,1,suitable
1409708432666,1,existing_station,10,30,80.0,1,1,suitable
1412000013325,1,existing_station,39,97,80.0,2,1,suitable
1410100012073,1,existing_station,53,91,80.0,3,1,suitable
1412000014925,1,existing_station,17,37,80.0,1,1,suitable
1412000012651,1,existing_station,80,159,80.0,4,1,suitable
1409800012042,1,existing_station,22,35,80.0,1,1,suitable
1407000201255,1,existing_station,23,35,80.0,1,1,suitable
1407000010030,1,existing_station,19,44,80.0,1,1,suitable
1409700250782,1,existing_station,16,51,80.0,1,1,suitable
1412000011795,1,existing_station,49,166,80.0,4,1,suitable
1412002316654,1,existing_station,26,48,80.0,1,1,suitable
1409800012752,1,existing_station,36,98,80.0,2,1,suitable
140700014083A,1,existing_station,29,47,80.0,1,1,suitable
1409700342079,1,existing_station,35,43,80.0,1,1,suitable
1412000011742,1,existing_station,63,135,80.0,4,1,suitable
1412000013791,1,existing_station,26,55,80.0,1,1,suitable
1410100010541,1,existing_station,31,53,80.0,1,1,suitable
1412000014060,1,existing_station,30,55,80.0,1,1,suitable
140970032027A,1,existing_station,37,48,80.0,1,1,suitable
1412000014287,1,existing_station,30,60,80.0,1,1,suitable
1412000012990,1,existing_station,44,86,80.0,2,1,suitable
1410100012016,1,existing_station,64,116,80.0,3,1,suitable
1412000014304,1,existing_station,27,70,80.0,2,1,suitable
1403900015192,1,existing_station,56,124,80.0,3,1,suitable
1403900014616,1,existing_station,45,127,80.0,3,1,suitable
140390001400A,1,existing_station,32,74,80.0,2,1,suitable
1403900014955,1,existing_station,42,127,80.0,3,1,suitable
1403900010736,1,existing_station,32,77,80.0,2,1,suitable
141200001326A,1,existing_station,58,108,80.0,3,1,suitable
1403900013868,1,existing_station,59,106,80.0,3,1,suitable
1403900014781,1,existing_station,51,111,80.0,3,1,suitable
1403900015031,1,existing_station,28,85,80.0,2,1,suitable
1412000014319,1,existing_station,32,83,80.0,2,1,suitable
1410100011018,1,existing_station,30,86,80.0,2,1,suitable
1403900010083,1,existing_station,52,108,80.0,3,1,suitable
1409800141129,1,existing_station,42,75,80.0,2,1,suitable
1409700010208,1,existing_station,41,110,80.0,3,1,suitable
1409800011364,1,existing_station,39,81,80.0,2,1,suitable
1409700012115,1,existing_station,44,76,80.0,2,1,suitable
1410100010378,1,existing_station,38,82,80.0,2,1,suitable
1412000011935,1,existing_station,33,87,80.0,2,1,suitable
1403900015421,1,existing_station,49,103,80.0,3,1,suitable
1412000011865,1,existing_station,45,109,80.0,3,1,suitable
1410100010787,1,existing_station,30,96,80.0,2,1,suitable
1403900015135,1,existing_station,29,95,80.0,2,1,suitable
1403900014813,1,existing_station,39,114,80.0,3,1,suitable
1403900013548,1,existing_station,40,144,95.0,3,1,suitable
141200001575A,1,existing_station,15,21,95.0,1,1,suitable
140980001085A,1,existing_station,114,241,95.0,4,2,suitable
1403900014777,1,existing_station,34,115,95.0,3,2,suitable
1409800012894,1,existing_station,13,22,95.0,1,2,suitable
1412000017205,1,existing_station,18,18,95.0,1,2,suitable
1403900014404,1,existing_station,99,192,95.0,4,2,suitable
1403900015050,1,existing_station,43,94,95.0,2,2,suitable
1409800011078,1,existing_station,30,84,95.0,2,2,suitable
1412000012647,1,existing_station,67,155,95.0,4,2,suitable
1407000140219,1,existing_station,22,53,100.0,1,2,suitable
1412000013310,1,existing_station,40,89,100.0,2,2,suitable
1409708614075,1,existing_station,27,63,100.0,1,2,suitable
1412000013560,1,existing_station,43,97,100.0,3,2,suitable
1410100011094,1,existing_station,27,67,100.0,2,2,suitable
1409700350231,1,existing_station,48,70,100.0,2,2,suitable
1407000431024,1,existing_station,12,18,100.0,1,2,suitable
1412002316669,1,existing_station,21,24,100.0,1,2,suitable
141200231415A,1,existing_station,26,41,100.0,1,2,suitable
140980001249A,1,existing_station,83,207,100.0,4,2,suitable
1410100010448,1,existing_station,13,17,100.0,1,2,suitable
1403900015417,1,existing_station,48,120,100.0,3,2,suitable
1407000140223,1,existing_station,12,34,100.0,1,2,suitable
1409800012131,1,existing_station,37,71,100.0,2,2,suitable
1412000016546,1,existing_station,83,116,100.0,4,2,suitable
1410100011200,1,existing_station,12,18,100.0,1,2,suitable
1409800011453,1,existing_station,52,211,100.0,4,2,suitable
141010001108A,1,existing_station,50,102,100.0,3,2,suitable
1403900011490,1,existing_station,47,123,100.0,3,2,suitable
140390001507A,1,existing_station,32,75,100.0,2,2,suitable
1407000131486,1,existing_station,29,55,100.0,1,2,suitable
1409708222469,1,existing_station,79,146,100.0,4,2,suitable
1410100011361,1,existing_station,43,93,100.0,2,2,suitable
1412000014592,1,existing_station,56,137,100.0,4,2,suitable
1409700381808,1,existing_station,53,103,100.0,3,2,suitable
1407001111359,1,existing_station,20,40,100.0,1,2,suitable
1412000013132,1,existing_station,44,85,100.0,2,2,suitable
1410100010999,1,existing_station,47,89,100.0,2,2,suitable
1412000011812,1,existing_station,61,129,100.0,4,2,suitable
1403900010261,1,existing_station,43,96,100.0,2,2,suitable
1410100272355,1,existing_station,13,24,100.0,1,2,suitable
1407000131471,1,existing_station,45,69,100.0,2,2,suitable
1410100011304,1,existing_station,42,73,100.0,2,2,suitable
141010001019A,1,existing_station,56,137,100.0,4,2,suitable
1409800143178,1,existing_station,48,95,115.0,3,2,suitable
1410100010768,1,existing_station,43,117,115.0,3,2,suitable
1404400050261,1,existing_station,6,8,115.0,1,2,suitable
1410100012054,1,existing_station,70,144,115.0,4,2,suitable
1412000012219,1,existing_station,36,58,115.0,2,2,suitable
1403900013891,1,existing_station,54,93,115.0,3,2,suitable
1409700350551,1,existing_station,32,45,115.0,1,2,suitable
1407000010702,1,existing_station,43,64,115.0,2,2,suitable
1409800011877,1,existing_station,18,28,115.0,1,2,suitable
1409800011190,1,existing_station,142,253,115.0,4,2,suitable
1409800011379,1,existing_station,35,80,120.0,2,2,suitable
1412000014499,1,existing_station,62,108,120.0,3,2,suitable
1409800012362,1,existing_station,32,88,120.0,2,2,suitable
1412000012134,1,existing_station,32,57,120.0,1,2,suitable
1403900015506,1,existing_station,33,93,120.0,2,2,suitable
1403900015578,1,existing_station,37,64,120.0,2,2,suitable
140970025080A,1,existing_station,23,67,120.0,1,2,suitable
1412002314164,1,existing_station,30,44,120.0,1,2,suitable
141010001072A,1,existing_station,44,94,120.0,2,2,suitable
140970025130A,1,existing_station,40,105,120.0,3,2,suitable
1412000013274,1,existing_station,47,111,120.0,3,2,suitable
1412000014268,1,existing_station,36,66,120.0,2,2,suitable
1410100010679,1,existing_station,26,50,120.0,1,2,suitable
1412000012276,1,existing_station,39,92,120.0,2,2,suitable
1409708332948,1,existing_station,32,61,120.0,2,2,suitable
1410100011766,1,existing_station,33,48,120.0,1,2,suitable
1407000131429,1,existing_station,17,70,120.0,1,2,suitable
1409700340373,1,existing_station,17,25,120.0,1,2,suitable
1412000010246,1,existing_station,73,126,120.0,4,2,suitable
140980001320A,1,existing_station,36,70,120.0,2,2,suitable
1403900010971,1,existing_station,16,56,120.0,1,2,suitable
1403900012022,1,existing_station,40,125,120.0,3,2,suitable
1410100011569,1,existing_station,8,16,120.0,1,2,suitable
1409708221954,1,existing_station,86,130,120.0,4,2,suitable
1403900014828,1,existing_station,69,137,120.0,4,2,suitable
1409800011082,1,existing_station,28,81,120.0,2,2,suitable
140390001514A,1,existing_station,37,96,135.0,2,2,suitable
1403900015262,1,existing_station,31,108,135.0,2,2,suitable
1409800012470,1,existing_station,76,162,135.0,4,2,suitable
141200001372A,1,existing_station,19,43,135.0,1,2,suitable
1412000011920,1,existing_station,64,114,135.0,3,2,suitable
1409708432632,1,existing_station,7,19,135.0,1,2,suitable
1409700252399,1,existing_station,16,32,135.0,1,2,suitable
1410100010202,1,existing_station,55,102,135.0,3,2,suitable
1409708221916,1,existing_station,58,108,135.0,3,2,suitable
1407001111378,1,existing_station,13,31,135.0,1,2,suitable
1403900014368,1,existing_station,33,91,135.0,2,2,suitable
1407000430897,1,existing_station,12,26,135.0,1,2,suitable
1403900015065,1,existing_station,43,82,140.0,2,2,suitable
1409708531668,1,existing_station,32,75,140.0,2,2,suitable
1412000012204,1,existing_station,28,61,140.0,1,2,suitable
1403900014762,1,existing_station,50,117,140.0,3,2,suitable
140980001110A,1,existing_station,52,102,140.0,3,2,suitable
1403900014118,1,existing_station,26,118,140.0,3,2,suitable
1412000014554,1,existing_station,59,138,140.0,4,2,suitable
140390001197A,1,existing_station,48,113,140.0,3,2,suitable
1409800010385,1,existing_station,141,308,140.0,4,2,suitable
1403900014921,1,existing_station,75,182,140.0,4,2,suitable
1403900014211,1,existing_station,38,106,140.0,3,2,suitable
1412000012721,1,existing_station,60,133,140.0,4,2,suitable
1403900011950,1,existing_station,45,134,140.0,3,2,suitable
141200001237A,1,existing_station,45,131,140.0,3,2,suitable
1412000014357,1,existing_station,24,71,140.0,2,2,suitable
1412000012308,1,existing_station,53,128,140.0,3,2,suitable
1403900014391,1,existing_station,84,173,140.0,4,2,suitable
1403900013764,1,existing_station,82,166,140.0,4,2,suitable
1403900015277,1,existing_station,17,55,150.0,1,2,suitable
1403900015099,1,existing_station,42,97,150.0,2,2,suitable
1409800012860,1,existing_station,30,98,150.0,2,2,suitable
141200001461A,1,existing_station,38,107,155.0,3,2,suitable
1412000016620,1,existing_station,14,32,155.0,1,2,suitable
1403900010543,1,existing_station,58,118,155.0,3,2,suitable
1412007580744,1,existing_station,38,57,155.0,2,2,suitable
1409708441687,1,existing_station,37,47,155.0,1,2,suitable
1409700340848,1,existing_station,39,53,155.0,2,2,suitable
1409800012485,1,existing_station,142,261,155.0,4,2,suitable
1405100010054,1,existing_station,26,48,155.0,1,2,suitable
1403900010134,1,existing_station,37,98,155.0,2,2,suitable
1412002313823,1,existing_station,16,44,155.0,1,2,suitable
1403900013016,1,existing_station,62,90,155.0,3,2,suitable
1403900014175,1,existing_station,40,105,155.0,3,2,suitable
1410100010861,1,existing_station,59,116,155.0,3,2,suitable
1409708432651,1,existing_station,21,38,155.0,1,2,suitable
1412000014573,1,existing_station,73,150,155.0,4,2,suitable
1404400540416,1,existing_station,5,7,155.0,1,2,suitable
1412000014677,1,existing_station,53,72,160.0,2,2,suitable
1403900012516,1,existing_station,41,103,160.0,3,2,suitable
1403900010454,1,existing_station,60,158,160.0,4,2,suitable
1403900011700,1,existing_station,68,160,160.0,4,2,suitable
1403900011876,1,existing_station,63,165,160.0,4,2,suitable
1407000140469,1,existing_station,37,65,160.0,2,2,suitable
1403900015440,1,existing_station,23,79,160.0,2,2,suitable
1403900010539,1,existing_station,64,112,160.0,3,2,suitable
1409708221526,1,existing_station,45,99,160.0,3,2,suitable
1412002316673,1,existing_station,22,31,160.0,1,2,suitable
1412000015374,1,existing_station,18,35,160.0,1,2,suitable
1403900014847,1,existing_station,42,123,160.0,3,2,suitable
1403900014480,1,existing_station,48,94,160.0,3,2,suitable
1412000012401,1,existing_station,45,83,160.0,2,2,suitable
1412000011901,1,existing_station,48,91,160.0,2,2,suitable
1412000013185,1,existing_station,28,90,160.0,2,2,suitable
1409800010084,1,existing_station,29,98,160.0,2,2,suitable
1409800011044,1,existing_station,37,88,160.0,2,2,suitable
1412000012793,1,existing_station,34,45,160.0,1,2,suitable
1412000012717,1,existing_station,63,137,160.0,4,2,suitable
1403900010859,1,existing_station,65,136,160.0,4,2,suitable
1409708221901,1,existing_station,49,85,170.0,2,2,suitable
140390001418A,1,existing_station,51,113,175.0,3,2,suitable
1403900011221,1,existing_station,65,190,175.0,4,2,suitable
1407000140825,1,existing_station,41,60,175.0,2,2,suitable
1412000012628,1,existing_station,56,138,175.0,4,2,suitable
1410100010310,1,existing_station,34,101,175.0,2,2,suitable
1410100011003,1,existing_station,49,95,175.0,3,2,suitable
1403900012253,1,existing_station,31,113,175.0,3,2,suitable
1403900014160,1,existing_station,28,119,175.0,3,2,suitable
1410100010791,1,existing_station,19,87,175.0,2,2,suitable
1409700320265,1,existing_station,18,53,175.0,1,2,suitable
1410100011554,1,existing_station,9,21,175.0,1,2,suitable
1409700251403,1,existing_station,12,32,175.0,1,2,suitable
1409700251390,1,existing_station,36,114,175.0,3,2,suitable
1403900012535,1,existing_station,48,105,175.0,3,2,suitable
1403900013798,1,existing_station,78,148,180.0,4,2,suitable
1412000010392,1,existing_station,67,112,180.0,3,2,suitable
140390001521A,1,existing_station,25,66,180.0,2,2,suitable
1403900012361,1,existing_station,39,99,180.0,2,2,suitable
1412002315872,1,existing_station,11,25,180.0,1,2,suitable
1410100010823,1,existing_station,42,76,180.0,2,2,suitable
1403900010793,1,existing_station,91,210,180.0,4,2,suitable
1403900014601,1,existing_station,33,127,180.0,3,2,suitable
1409707771780,1,existing_station,6,6,180.0,1,2,suitable
1409800010671,1,existing_station,272,471,180.0,4,2,suitable
1409800010807,1,existing_station,29,46,180.0,1,2,suitable
1409708743999,1,existing_station,14,30,180.0,1,2,suitable
1403900010844,1,existing_station,74,192,180.0,4,2,suitable
1412000014234,1,existing_station,61,109,180.0,3,2,suitable
140980001103A,1,existing_station,44,96,180.0,2,2,suitable
1410100011126,1,existing_station,9,19,180.0,1,2,suitable
1403900013815,1,existing_station,51,122,180.0,3,2,suitable
1403900014438,1,existing_station,69,142,180.0,4,2,suitable
1410100010490,1,existing_station,35,69,180.0,2,2,suitable
1412000016902,1,existing_station,56,120,180.0,3,2,suitable
1412000011687,1,existing_station,77,152,180.0,4,2,suitable
1412000013382,1,existing_station,55,121,180.0,3,2,suitable
1410100010147,1,existing_station,33,69,180.0,2,2,suitable
1412000016584,1,existing_station,11,30,180.0,1,2,suitable
1403900010401,1,existing_station,42,97,190.0,2,2,suitable
1407000140609,1,existing_station,18,37,190.0,1,2,suitable
